CASE_LBL,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,GP_YEAR,CWPP_YEAR,HMP_YEAR,GTheme1,GTheme2,GTheme3,GTheme4,GThemeTIME,GOVERALL,WFA_SUM,WFA_GP,WFA_CWPP,WFA_HMP,WSVI_SUM,WSVI_GP,WSVI_CWPP,WSVI_HMP,GP_TOTAL_P,CWPP_TOTAL_P,HMP_TOTAL_P,THREEPLANS_TOTAL,FIPS_ID,LU_SUM,CIR_SUM,HS_SUM,CSV_SUM,OS_SUM,SFT_SUM,EJ_SUM,K_9.1,GP_TOTAL,CTX_SUM,CLB_SUM,FR_SUM,SI_SUM,STIM_SUM,ME_SUM,VP_SUM,OA_SUM,CWPP_TOTAL,A_SUM,B_SUM,C_SUM,D_SUM,E_SUM,F_SUM,K_7.1_A,HMP_TOTAL,WFIR_RISKS,MEAN_WHP,ExpectedAnnualHUExposed,ExpectedAnnualRelativeHURisk,WHPContinuousMean,WHPClassMean
MONO_26,.1579,.3158,0,.3333,.3684,2009,2009,2006,3,3,2,1,3,4,.62,.52,.69,.64,.33,.43,0,.56,.67,.61,.85,.71,51,4,4,7,4,1,16,3.5,2,41.5,5,4,6,4,14.64,1,0,3,37.64,8.48,14,12,8,6,2,2,52.48,89.08685969,447,9.02,559,586,2.3506
MONTEREY_27,.8246,.7193,.5614,.8947,.8421,2010,2023,2022,3,4,3,3,3,4,.62,.5,.7,.64,.31,.39,0,.56,.62,.71,.92,.75,53,1,3,8,5,1,16,3.5,1,38.5,6,5,5,5,14.05,3,0,6,44.05,9.98,14,12,9,8,2,2,56.98,97.48647789,159,119.15,5753,2693,3.1085
NAPA_28,.3684,.2105,.3684,.4737,.6842,2008,2021,2020,5,3,2,3,3,3,.5,.34,.74,.42,.09,.15,.11,0,.49,.64,.77,.64,55,3,3,0,3,0,18.5,2,1,30.5,6,4,6,3,13.8,3,1,3,39.8,9.98,16,7,8,5,2,0,47.98,95.51384028,267,28.7,1487,1172,3.0186
NEVADA_29,.0351,.1754,.193,.0175,.0351,2008,2016,2017,3,3,4,4,3,4,.65,.52,.74,.7,.6,.63,.61,.56,.69,.79,.9,.79,57,4,4,7,6,1,15,4.5,1,42.5,7,4,6,3,13.8,6,5,4,48.8,8.98,15,14,8,6,2,2,55.98,98.31371301,1032,112.88,6672,3693,3.8699
ORANGE_30,.4211,.3333,.3158,.6667,.4386,2012,2017,2021,5,4,3,3,3,3,.61,.48,.69,.67,.36,.52,0,.56,.65,.7,.86,.74,59,5,2,7,4,1,18,2,1,40,7,3.33,5,5,14.05,5,0,4,43.38,9.48,9,14,9,8,2,2,53.48,99.77728285,280,533.81,25908,2851,1.6869
PLACER_31,0,.0175,.2456,.2281,.0175,2013,2021,2021,5,4,5,5,5,5,.67,.6,.68,.73,.5,.66,.28,.56,.79,.64,.97,.8,61,4,4,8,6,1,21,4,1,49,4,3,6,5,12.48,5,2,2,39.48,9.98,15,14,9,8,2,2,59.98,98.09099586,539,118.56,6170,2867,3.6133
PLUMAS_32,.0877,.1404,.2632,.0351,.1579,2013,2019,2020,5,3,3,5,5,5,.56,.43,.55,.71,.37,.28,.28,.56,.57,.52,.94,.68,63,4,2,4,6,1,16,1.5,1,35.5,4,3,4,3,10.48,4,2,2,32.48,9.98,13,14,9,6,2,2,55.98,97.61374483,1429,50.65,2955,2326,3.837
RIVERSIDE_33,.6491,.7368,.5965,.7544,.4035,2015,2023,2023,5,4,5,5,5,5,.57,.6,.55,.57,.48,.71,.17,.56,.81,.53,.82,.72,65,4,4,9,5,1,21,5,2,51,4,4,5,3,10.82,2,1,3,32.82,7.98,13,10,9,7,2,2,50.98,99.96818326,824,3415.65,169929,2654,1.6649
SACRAMENTO_34,.5439,.4912,.6316,.614,.4211,2011,2014,2021,3,3,3,3,3,4,.62,.52,.59,.74,.41,.66,0,.56,.6,.58,.97,.72,67,3,4,5,3,1,14,6.5,1,37.5,6,3.5,4,5,11.55,3,0,3,36.05,9.98,16,13,9,8,2,2,59.98,93.00031817,154,83.36,3338,428,1.4537
SAN_BENITO_35,.3158,.4737,.3684,.7719,.0877,2015,2010,2022,3,3,2,3,3,3,.55,.45,.48,.71,.28,.3,0,.56,.56,.52,.89,.66,69,3,3,4,5,0,17,2,1,35,4,4,4,3,11.15,4,0,2,32.15,9.32,15,12,9,6,2,2,55.32,94.9093223,361,36.48,1765,3990,3.6298
SAN_BERNARDINO_36,.8421,.8421,.614,.9474,.6842,2022,2020,2011,3,5,3,5,5,3,.5,.52,.45,.53,.35,.48,0,.56,.59,.51,.79,.63,71,4,4,4,7,1,12,3.5,1,36.5,3,5,4,3,9.49,4,0,3,31.49,9.98,12,10,7,6,2,2,48.98,99.93636653,654,1327.19,67447,412,1.0914
SAN_DIEGO_37,.5263,.5088,.1754,.5614,.7544,2011,2019,2023,3,4,4,4,4,4,.62,.65,.54,.68,.5,.95,0,.56,.84,.56,.92,.77,73,6,4,10,3,0,20.5,7.5,1,52,7,3.5,5,2,10.98,4,0,2,34.48,9.98,14,12,9,8,2,2,56.98,100,662,2252.03,124054,6675,2.8593
SAN_FRANCISCO_38,.2632,.0877,.0175,.6667,.8947,2011, ,2021,1,2,2,1,1,1,.33,.43,0,.55,.17,.52,0,0,.53,0,.82,.45,75,0,2,5,2,1,15,7,1,33, , , , , , , , , ,8.66,14,12,7,7,2,0,50.66,26.40789055,141,.77,34,150,.3041
SAN_JOAQUIN_39,.7895,.6667,.7368,.8421,.5965,2016, ,2023,1,2,2,1,3,1,.27,.38,0,.44,.14,.42,0,0,.47,0,.73,.4,77,3,1,4,3,0,15,2,1,29, , , , , , , , , ,9.48,10,9,9,6,2,0,45.48,85.26885142,68,26.35,958,389,1.3935
